trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",30,0,-43.11735956605401,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,0,-26.297246532475356,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,0,-28.591225041951382,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,0,-63.62950187126497,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,0,-28.052876033334126,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,8.41097492819826,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,7,-94.60210823859059,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-96.21023814532454,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,3,18.514470202539222,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-46.49712072028406,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-22.01216069375935,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",35,23,-1.2440209932425823,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,0,-31.00897862912828,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,0,-68.23295900050205,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,0,-45.66848074496838,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-35.529302841683574,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-71.47867021268604,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,0,22.79251874467712,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",35,0,-93.77079131919261,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-2.79594967265584,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
